p_PerfTitleClean,e_EventId
Susanna An Oratorio,1
THE AGREEABLE S URPRISE,1
THE CHILDREN IN THE WOOD ,1
THE COMEDY OF ERRORS,1
THE DEATH OF CAPTAIN COOK,1
THE NEW DIVERTISEMENT,1
THE MOCK DOCTOR or The Dumb Lady Cured,1
THE MOCK DOCTOR ,1
THE MISER,1
THE MILLER OF MANSFIELD,1
THE Lyar,1
THE LITTLE HUNCHBACK,1
THE GRECIAN DAUGHTER ,1
THE GRAND TE DEUM composed by Paisiello upon the return of his Majesty the King of the Two Sicilies from Vienna to Naples in the summer of 1791,1
THE GLORIUS FIRST OF JUNE,1
THE GAMESTER,1
THE FOLLIES  OF A DAY,1
THE ENGLISHMAN IN PARIS,1
THE DIVORCE,1
THE DEVIL UPON Two Sticks,1
Sunshine after Rain,1
St Helena or The Isle of Love,1
St Helena,1
St Davids Day,1
Sir John Cockle At Court,1
Sir Hercules Buffoon Or The Poetical Squire,1
Sir Courtly Nice or It Cannot Be,1
Sir Barnaby Whigg Or No Wit Like A Womans,1
Sir Anthony Love Or The Rambling Lady,1
Singing in Italian and English Signora Louvicina who being to return very speedily out of England,1
Singing in Italian and English Mrs Tofts who did not sing on 14 Dec,1
Singing and Monologues,1
Singing In Italian and English Miss Faulkner viz End II Ah Se amanti fasti mai Felice Belve Miss Faulkner End IV O Sleep Why dost thou leave me,1
Sighs or The Daughter,1
Sighs Or The Daughter,1
Sifare,1
Siege Of Damascus,1
Siege Of Bethulia,1
Shes Eloped,1
Sir Mannerly Or The Country Wit,1
THE PACKET BOAT or A Peep behind the Veil,1
Sir Mannerly Shallow Or The Country Wit,1
Sir Martin Marr all,1
Squire Trelooby,1
Squire Oldsapp Or The Night adventurers,1
Squire Basinghall Or The Cheapside Beau,1
Squire Badger,1
Spanish Friar,1
Southwark Fair or The Sheep Shearing,1
Song on the Privilege and Happiness of FreeMasonry A very humorous Song on the Charitable Corporation sent by George Robinson Esq,1
Solo on the Violin M,1
Solo Concerto on Basson the celebrated M,1
Solimano,1
Sllla,1
Sketch of a Fine Ladys Return from a Rout,1
Sirbace,1
Sir Salomon Or The Cautious Coxcomb,1
Sir Patient Fancy,1
Sir Martin Mar all the Feigned Innocence,1
THE POSITIVE MAN,1
THE PRIZE or 2,1
THE PRIZE or 2 5 3 8,1
Taste1st Act of Taste and Modern Tragedy,1
Taste or Lady Pentweazel sitting for her Picture,1
Taste or Frolicks of Fancy,1
Taste or Diversion in the Morning,1
Taste and Feeling A Dramatic Caricature,1
Taste and Feeling,1
Tarugos Wiles Or The Coffee House,1
Tartuffe Or The Hypocrite,1
Tartuffe Or The French Puritan,1
Tars of Old England,1
Tars at Torbay or Sailors on Saturday Night,1
Tamerlane The Great With The Fall Of Bajazet Emperor Of The Turks,1
Tamerlane The Great Or The Fall Of Bajazet Emperor Of The Turks,1
Tamerlain,1
Tagg in Tribulation,1
Tea or Tragedy a la Mode,1
TWO STRINGS TO YOUR BoOW,1
Tears and Triumphs of Parnassus,1
Tell Truth and Shame the Devil,1
The  Lottery,1
The  King and Miller,1
The  Jealous Taylor,1
The  Hermit,1
The  Dragon of Wantley,1
The  Deserter,1
The   Wedding With the Skimmington after the Manner of Hudibras,1
The   Island of St,1
The   Critic or A Tragedy Rehearsd,1
The    Genii,1
Thamas Kouli Kan The Persian Hero Or The Distressd Princess With The Descent Of Harlequin From The Sun And His Adventures On Earth,1
Teuzzone,1
Terpsicore,1
Teraminta,1
Temistocle,1
Telemachus,1
She Woud and She Woud Not,1
TTwo Pierrots Poitier Nivelon Highlander and Mistress Salle Mrs Laguerre A new Grand Warlike Dance with Moors Glover Pelling Newhouse Lanyon Mrs Bullock Mrs Ogden Mrs Hill in which will be introduced a new Polonese Poitier Miss LaTour with Poitier beating a Preamble on the Kettle Drums,1
TTrumpet Song sounded L,1
THE UPHOLSTERER,1
THE TWO MISERS,1
THE SUICIDE,1
THE SUIC IDE,1
THE SPEECHLESS WIFE,1
THE SOLDIERS FESTIVAL or The Night before the Battle,1
THE SIEGE OF MEAUX ,1
THE SICILIAN ROMANCE or The Apparition of the Cliffs,1
THE SHIPWRECK or French Ingratitude,1
THE SHIPWRECK,1
THE SAILORS FESTIVAL or All Alive at Portsmouth,1
THE RECRUITING OFFICER,1
THE PooR SOLDIER,1
THE PURSE ,1
THE PRODIGAL,1
THE VIRGIN UNMASKD ,1
TTwo Comic Dances Mas,1
THE WARD OF THE CASTLE ,1
THOMAS AND SALLY or The Sailors Return,1
TThe Triumph of Britannia Over the Four Parts of the World,1
TThe Statue Animated,1
TThe Masques,1
TThe Knife Grinders performd but once as17631012,1
TThe Judgment of Paris as17640503,1
TThe Infernals Grand Ballet,1
TThe Hungarian Gambols,1
TThe Enchanted Garden,1
TThe Country Wedding as17590423,1
TThe Coblers Jealous Wife new,1
TThe Bird Catchers,1
TRUE BLUE ,1
TRISTRAM SHANDY,1
TIT FOR TAT,1
TIT FOR  TAT,1
THE WATERMAN,1
The Comical Distresses of Pierot,1
Matrimony,1
Massaniello,1
Ild Oats,1
Il Trionfo Di Camilla,1
Il Trionfo Della Costazza,1
Il Trionfo Della Continenza,1
Il Trionfo Del Tempo E Della Verita,1
Il Re Teodoro In Venezia Or Theodore king Of Corsica At Venice,1
Illumination Or The Glaziers Conspiracy,1
Il Principe Spazzacamino,1
Il Mercato Di Malmantile,1
Il Mercato Del Malmantile,1
Il Matriomonio Disturbato Or Pantalons Marriage Disturbed By The Different Humours Of The Ladies Nane Gonolier And Brighella Co rivals In Their Amours With Argentina And Their Challente Together With Entertainments Of Masquerades Serenades Risings Songs And Dances After The Ventetian Manner,1
Il Marchese Villano,1
Il Filosofo Di Campagna,1
Il Ciro Riconosiuto sic,1
Il Mondo Nella Luna,1
Imitation Or The Female Fortune hunters,1
Imitations End II Vocal Imitations Bannister Sen,1
Imitations End Theatrical Imitations Serious Comic Vocal and Rhetorical Rees Duologue End afterpiece HobbyHorses Describing the Statesmans Hobby the Ladies Hobby the Lawyers Hobby the Physicians Hobby the Managers Hobby and R,1
In Act II of mainpiece the Grand Triumphal Entry of Alexander into Babylon,1
In 3rd piece songs As17960503 In Evening Mad Bess 1st time the Minstrels Song Where is that towring spirit fled,1
In 3rd piece Sweet Echo Miss Broadhurst accompanied on the hautboy W,1
