c_Performer,p_PerfTitleClean,p_PerfTitleClean
 Mullart,Hamlet,5
 Mullart,Macbeth,3
 Mullart ,Hamlet,4
 Mullart.,Hamlet,6
 Mullart.,Macbeth,3
 Munden,Macbeth,9
 Munden,The Beggars Opera,2
 Neale,Macbeth,48
 Neale ,Macbeth,3
 Neale.,Macbeth,3
 Nicolini,The Beggars Opera,29
 Norris,Macbeth,21
 Oates,The Devil to Pay,48
 Owenson,Macbeth,3
 Parsons,Macbeth,1
 Pearce,Hamlet,9
 Pearce,Macbeth,2
 Pearce ,Macbeth,3
 Pearce.,Macbeth,1
 Pelling,Macbeth,6
 Penkethman,Hamlet,3
 Penkethman,Macbeth,11
 Penkethman by way of Dialogue,Macbeth,1
 Penkethman.,Hamlet,1
 Phillips,Macbeth,3
 Phipps,Macbeth,1
 Phipps.,Macbeth,3
 Quick,Hamlet,2
 Quick,Macbeth,20
 R. Wetherilt,Macbeth,1
 R. Wetherilt.,Macbeth,1
 R. Williams,Hamlet,2
 R. Williams.,Hamlet,2
 Ray,Hamlet,44
 Ray,Macbeth,17
 Ray ,Hamlet,3
 Ray.,Hamlet,19
 Ray.,Macbeth,1
 Ray. After which will be introduced,Hamlet,1
 Redman,Macbeth,1
 Reed,Macbeth,2
 Rees,Hamlet,25
 Rees,Macbeth,5
 Reeve,Macbeth,6
 Reinhold,Macbeth,19
 Rheinhold,Macbeth,1
 Ridout,The Devil to Pay,3
 Roberts,Macbeth,32
 Rochford,Macbeth,2
 Rochford and Decorations Incident to the Play.,Macbeth,2
 Rochford.,Macbeth,1
 Rochford.  And Decorations incident to the play.,Macbeth,1
 Roffey,The Devil to Pay,1
 Roger,Macbeth,2
 Roger,The Beggars Opera,4
 Roger.,Macbeth,4
 Ryder,Hamlet,1
 Ryder,The Devil to Pay,1
 Salway,Macbeth,3
 Salway ,Hamlet,2
 Sga Manesiere,The Devil to Pay,5
 Sga _Seratina.,The Stratagem,9
 Shawford,Macbeth,2
 Shawford,The Beggars Opera,4
 Shepard,Macbeth,13
 Shepard.,Macbeth,19
 Shuter,Macbeth,17
 Shuter.,Macbeth,3
 Sparks,Hamlet,1
 Spiller,Hamlet,5
 Spiller.,Hamlet,19
 Stevens,Macbeth,4
 Stoppelaer,Hamlet,56
 Stoppelaer,Macbeth,2
 Stoppelaer ,Macbeth,3
 Stoppelaer.,Hamlet,4
 Suett,Macbeth,20
 Suett//Lady Macbeth-Mrs Siddons,Macbeth,13
 Sullivan,Macbeth,8
 Taswell,Macbeth,3
 The Ceremony of Hamlet's Lying in State,Hamlet,1
 Thompson,Hamlet,1
 Thompson,Macbeth,11
 Thomson,Macbeth,1
 Townsend,Macbeth,3
 Turbutt,Macbeth,2
 Vaughan,Hamlet,52
 Vaughan,The Beggars Opera,4
 Vaughan.,Hamlet,2
 Vaughan.,Macbeth,1
 Vernon,Macbeth,5
 Vernon.,Macbeth,1
 W. <i>Vaughan,Hamlet,1
 Waldron,Hamlet,4
 Waldron Jun.,Hamlet,3
 Waldron Jun.,The Beggars Opera,2
 Waltz,Macbeth,6
 Wathen,The Beggars Opera,2
 Watts,Hamlet,2
 Waylin,Macbeth,1
 Webb,Macbeth,23
 Webb,The Stratagem,1
 Wells,The Devil to Pay,1
 Wentworth,The Devil to Pay,1
 Wetherilt,Macbeth,2
 Wetherilt Sr ,Hamlet,3
 Wetherilt.,Hamlet,1
 Wewitzer,Hamlet,23
 Wewitzer,Macbeth,11
 Who never appear'd on any Stage before.,The Devil to Pay,1
 Wilder,Macbeth,14
 Women.,The Beggars Opera,2
 Woodburn,Macbeth,1
 Woodward,Macbeth,8
 Yates,Hamlet,3
 Yates,Macbeth,74
 _Bardoleau,The Devil to Pay,1
 _Cushing,Macbeth,4
 _Harvey,The Beggars Opera,1
 _Hippisley,Macbeth,1
 _Hitchcock,The Stratagem,1
 _Mead,The Devil to Pay,1
 _Morgan.,Macbeth,1
 _Phillips.,Macbeth,1
 _Quick,Macbeth,2
 _Reinhold.,The Stratagem,10
 _Roger.,The Beggars Opera,1
 _Saunders,Hamlet,1
 _Sawyer.,The Devil to Pay,1
 _Usher.,The Stratagem,1
 after the Manner of his Grace,Hamlet,1
 and for this night only.,The Beggars Opera,1
 and her third appearance on any stage.,The Stratagem,3
 and other decorations.,Macbeth,4
 as Captain of the $Lilliputians=,The Devil to Pay,2
 at the Head of her Company.,The Devil to Pay,2
 being her first appearance.,The Stratagem,1
 being her second appearance on any stage,The Beggars Opera,1
 being the first Time of her Appearance on the Stage.,The Beggars Opera,2
 being the first Time of her appearance in that Character.,The Beggars Opera,2
 being the first Time of her appearing in the Dramatick Way,The Stratagem,1
 being the first time of his performing it in <i>England</i>,Hamlet,1
 being the first time of his performing it.,Hamlet,2
 but I believe it hurt the House ,Macbeth,1
 but see17331011 ,The Devil to Pay,1
 but see17331012 ,The Beggars Opera,2
 but see17331022 ,The Beggars Opera,1
 but see17350407 ,The Beggars Opera,1
 but see17350409,The Devil to Pay,1
 but see17351227 ,Macbeth,1
 but see17360325,The Devil to Pay,1
 by permission of $Dibdin=).,The Devil to Pay,1
 decorations proper to the play.,Macbeth,4
 first appearance,The Stratagem,1
 first appearance any stage,The Beggars Opera,4
 first appearance on any stage,The Beggars Opera,5
 first appearance on any stage,The Stratagem,1
 first appearance on this stage.,The Devil to Pay,1
 first appearance that stage,The Stratagem,1
 first appearance there in 10 years,Hamlet,2
 first appearance this season.,The Stratagem,1
 first appearance this stage,The Stratagem,3
 first time,Hamlet,18
 first time,Macbeth,11
 first time,The Beggars Opera,18
 first time,The Devil to Pay,6
 first time,The Stratagem,18
 first time in that part,The Beggars Opera,5
 first time on any stage,The Beggars Opera,1
 first time on any stage this season,Hamlet,1
 first time.,Hamlet,3
 first time.,Macbeth,4
 first time.,The Beggars Opera,8
 first time.,The Devil to Pay,9
 first time.,The Stratagem,3
 from <i>Bell edition</i> 1773.,Hamlet,8
 from <i>Dublin</i>,The Stratagem,4
 from <i>Edinburgh</i>.,The Beggars Opera,1
 from <i>Ireland</i>,Hamlet,3
 from GF,The Beggars Opera,1
 from the $Theatre Royal in Dublin=.,The Stratagem,2
 her 1st appearance on any stage,The Beggars Opera,1
 her first appearance,The Beggars Opera,6
 her first appearance in that part,The Beggars Opera,1
 her first appearance since her arrival from <i>Dublin</i>,The Beggars Opera,1
 her first attempt on any Stage,The Devil to Pay,4
 her first on this stage.,The Beggars Opera,2
 her first time here.,The Stratagem,1
 his first time here,The Stratagem,1
 in the character of Macheath,The Beggars Opera,2
 never appear'd upon that stage before.,Hamlet,1
 other Decorations.,Macbeth,13
 other decorations proper to the play.,Macbeth,3
 others,Macbeth,1
 others,The Beggars Opera,8
 others.,Macbeth,7
 p. 112.,Hamlet,1
 riding on two Asses.,Macbeth,1
 second time,Hamlet,4
 second time in that character.,The Beggars Opera,1
 set by Mr Carey. The Words by Henry Saville,Hamlet,1
