c_Performer,p_PerfTitleClean,p_PerfTitleClean
Miller,The Stratagem,44
Miller.,Hamlet,1
Miller.,The Devil to Pay,4
Mills,Hamlet,117
Mills,Macbeth,85
Mills,The Beggars Opera,3
Mills,The Stratagem,81
Mills ,Macbeth,1
Mills.,Hamlet,1
Mills.,Macbeth,2
Milward,Hamlet,48
Milward,Macbeth,36
Milward,The Beggars Opera,8
Milward,The Stratagem,31
Milward.,The Stratagem,2
Miss <i>Norris.,Macbeth,1
Miss <i>Radley,Macbeth,1
Miss Ambrose,Macbeth,1
Miss Ambrose,The Beggars Opera,5
Miss Ambrose,The Devil to Pay,2
Miss Ambrose,The Stratagem,2
Miss Atherton,The Beggars Opera,12
Miss Atherton,The Devil to Pay,1
Miss Atherton.,The Beggars Opera,1
Miss Atkinson,The Beggars Opera,1
Miss Barnes,The Beggars Opera,8
Miss Barnes,The Devil to Pay,15
Miss Barnes,The Stratagem,1
Miss Barnes.,The Beggars Opera,2
Miss Barnes.,The Devil to Pay,3
Miss Barrymore,The Beggars Opera,1
Miss Barsanti,The Stratagem,3
Miss Barton,The Beggars Opera,1
Miss Bellamy,The Stratagem,4
Miss Bellamy.,The Stratagem,1
Miss Besford,The Beggars Opera,13
Miss Besford ,The Beggars Opera,1
Miss Besford.,The Beggars Opera,4
Miss Betterton ,Macbeth,1
Miss Betterton.,Macbeth,2
Miss Biggs ,Hamlet,6
Miss Billoe,The Stratagem,1
Miss Bincks,Hamlet,7
Miss Bincks,The Beggars Opera,18
Miss Bincks,The Stratagem,7
Miss Bincks ,The Devil to Pay,5
Miss Bincks ,The Stratagem,1
Miss Bincks.,The Devil to Pay,6
Miss Binks,Hamlet,6
Miss Binks,The Beggars Opera,2
Miss Binks,The Devil to Pay,1
Miss Binks ,Hamlet,3
Miss Binks ,The Stratagem,2
Miss Binks.,The Beggars Opera,17
Miss Bradshaw,The Beggars Opera,4
Miss Bradshaw,The Devil to Pay,4
Miss Bradshaw.,The Beggars Opera,1
Miss Bradshaw.,The Devil to Pay,1
Miss Brangin,The Beggars Opera,8
Miss Brangin,The Devil to Pay,2
Miss Brent,Hamlet,1
Miss Brent,The Beggars Opera,28
Miss Brent.,The Beggars Opera,12
Miss Brent1st time.*a1759 10 10 cg The Lying Valet.  As17591008*d1759 10 10 cg <i>CCountry Dance</i>-the characters of the play,The Beggars Opera,53
Miss Brett,The Beggars Opera,11
Miss Brett ,The Stratagem,1
Miss Brickler,The Beggars Opera,3
Miss Brickler.,The Beggars Opera,1
Miss Broadhurst.,The Beggars Opera,2
Miss Brown,The Beggars Opera,21
Miss Brown,The Stratagem,10
Miss Brown.,The Beggars Opera,13
Miss Brunette,The Beggars Opera,4
Miss Brunette,The Stratagem,2
Miss Brunette.,The Devil to Pay,1
Miss Brunton.,Hamlet,1
Miss Budgell,Hamlet,1
Miss Budgell,The Beggars Opera,16
Miss Budgell,The Devil to Pay,8
Miss Budgell rest omitted,Hamlet,1
Miss Budgell.,Macbeth,6
Miss Budgell.,The Devil to Pay,5
Miss Burges. With a New Prologue and Epilogue.  hathi.,The Beggars Opera,1
Miss Byrn,The Beggars Opera,23
Miss Careless.,The Beggars Opera,1
Miss Cary,The Devil to Pay,1
Miss Catley,The Beggars Opera,30
Miss Catley ,The Beggars Opera,9
Miss Catley ,The Devil to Pay,4
Miss Catley.,The Beggars Opera,14
Miss Catley.,The Devil to Pay,1
Miss Chapman,Macbeth,1
Miss Chapman.,Hamlet,4
Miss Charke.,The Devil to Pay,1
Miss Chatterley,The Beggars Opera,1
Miss Chatterley,The Devil to Pay,5
Miss Chetwood,The Beggars Opera,4
Miss Cleland Mrs Coaxer-Mrs Whitfield,The Beggars Opera,5
Miss Cockayne,The Beggars Opera,57
Miss Cockayne.,The Beggars Opera,2
Miss Cokayne,The Beggars Opera,24
Miss Cokayne.,The Beggars Opera,2
Miss Cole,Macbeth,36
Miss Cole,The Beggars Opera,25
Miss Cole,The Devil to Pay,6
Miss Cole.,The Devil to Pay,1
Miss Collett,Macbeth,1
Miss Collett,The Beggars Opera,14
Miss Collett ,The Beggars Opera,3
Miss Collett.,Hamlet,1
Miss Collins,The Devil to Pay,5
Miss Condill,The Stratagem,3
Miss Copen,The Beggars Opera,1
Miss Copin,The Beggars Opera,8
Miss Corbally,The Beggars Opera,1
Miss Cranfield,The Beggars Opera,4
Miss Cranfield.,The Devil to Pay,1
Miss Cranford,The Beggars Opera,4
Miss Crook.,The Beggars Opera,2
Miss D'Arcy ,The Stratagem,4
Miss D'Arcy.,The Stratagem,2
Miss Davies,The Beggars Opera,2
Miss Davies,The Devil to Pay,3
Miss Davies.,The Devil to Pay,1
Miss Davis,The Beggars Opera,94
Miss Davis,The Devil to Pay,14
Miss Davis.,The Beggars Opera,14
Miss Daw,The Beggars Opera,2
Miss Daw.,The Beggars Opera,6
Miss Dawson,The Beggars Opera,25
Miss Dawson in Act III,The Beggars Opera,4
Miss Dayes,The Beggars Opera,5
Miss Dayes ,The Beggars Opera,1
Miss Dayes.,The Beggars Opera,7
Miss DeCamp,The Beggars Opera,16
Miss DeCamp ,The Beggars Opera,1
Miss DeCamp.,The Beggars Opera,2
Miss E. Young,The Beggars Opera,2
Miss Edwards,The Beggars Opera,17
Miss Egan.,The Beggars Opera,1
Miss Elliot,The Stratagem,8
Miss Essex,The Beggars Opera,1
Miss Essex,The Devil to Pay,1
Miss Falkner,The Beggars Opera,7
Miss Falkner.,The Beggars Opera,3
Miss Farren ,The Devil to Pay,1
Miss Farren ,The Stratagem,6
Miss Farren.,The Stratagem,7
Miss Faulkner,The Beggars Opera,11
Miss Faulkner ,The Beggars Opera,1
Miss Fenton,The Beggars Opera,1
Miss Fenton.,Hamlet,2
Miss Fenton.,The Stratagem,2
Miss Ferbridge,Hamlet,2
Miss Ferguson,Hamlet,18
Miss Ferguson,Macbeth,1
Miss Ferguson,The Beggars Opera,94
Miss Ferguson,The Devil to Pay,15
Miss Ferguson,The Stratagem,18
Miss Ferguson.,The Stratagem,2
Miss Field,Hamlet,21
Miss Field.,Hamlet,1
Miss Field? ,Hamlet,1
Miss Fontenelle,The Beggars Opera,2
Miss Fontenelle ,The Beggars Opera,5
Miss Ford,The Devil to Pay,5
Miss Francis,The Beggars Opera,38
Miss Froment.,The Beggars Opera,1
Miss G. Walcup,The Beggars Opera,4
Miss George,The Beggars Opera,1
Miss George ,The Beggars Opera,1
Miss Gerrard,The Beggars Opera,4
Miss Griffiths ' name listed in playbill ,The Beggars Opera,2
Miss Griffiths.,The Beggars Opera,2
Miss Groce,The Beggars Opera,1
Miss Hale,Hamlet,1
Miss Hale,The Beggars Opera,39
Miss Hale,The Stratagem,1
Miss Hallam,The Stratagem,8
Miss Harper ,Hamlet,1
Miss Harper ,The Beggars Opera,5
Miss Harper.,The Beggars Opera,4
Miss Harper.  hathi.,The Beggars Opera,5
Miss Harrison,The Stratagem,1
Miss Harrison.,The Stratagem,1
Miss Haughton,Macbeth,1
Miss Haughton,The Beggars Opera,48
Miss Haughton,The Devil to Pay,28
Miss Haughton,The Stratagem,9
Miss Haughton.,The Devil to Pay,5
Miss Haughton.,The Stratagem,4
Miss Heard,The Beggars Opera,1
Miss Heard,The Devil to Pay,29
Miss Helm,The Beggars Opera,101
Miss Helm.,Hamlet,1
Miss Helm.,The Beggars Opera,3
Miss Helm.,The Stratagem,1
Miss Helme.,The Devil to Pay,1
Miss Hillyard,The Beggars Opera,10
Miss Hippisley,Hamlet,4
Miss Hippisley,The Beggars Opera,56
Miss Hippisley,The Stratagem,17
Miss Holiday,Macbeth,3
Miss Holiday.,Hamlet,1
Miss Holiday.,The Stratagem,1
Miss Holliday,The Stratagem,3
Miss Holliday ,The Stratagem,1
Miss Holliday.,The Stratagem,1
Miss Hollyday,Macbeth,5
Miss Horsington,The Beggars Opera,2
Miss Horsington,The Stratagem,14
Miss Horsington.,The Stratagem,6
Miss Hughes,The Devil to Pay,1
Miss Hughes ,The Stratagem,1
Miss Ives,The Beggars Opera,4
Miss J. Scott.,The Beggars Opera,4
Miss Jackson,The Stratagem,1
Miss Jarratt,The Stratagem,4
Miss Jarratt.,The Beggars Opera,1
Miss Jenny Jones,The Beggars Opera,1
Miss Jones,The Beggars Opera,8
Miss Jones,The Devil to Pay,9
Miss Jones,The Stratagem,1
Miss Jones ,The Devil to Pay,1
Miss Jones.  hathi.,The Beggars Opera,1
Miss Karver,The Beggars Opera,2
Miss Karver.,The Beggars Opera,7
Miss Kennedy.,Hamlet,1
Miss Kilby,The Beggars Opera,1
Miss Kirby,The Beggars Opera,2
Miss Kirby,The Stratagem,6
Miss Kirby ,The Beggars Opera,1
Miss Kirton,The Beggars Opera,4
Miss Langrish,The Beggars Opera,1
Miss Leak.,The Devil to Pay,1
Miss Leeson,Hamlet,1
Miss Leserve,The Beggars Opera,6
Miss Leserve,The Devil to Pay,3
Miss Lewis,The Devil to Pay,1
Miss Lincoln,The Beggars Opera,2
Miss Lincoln.,The Beggars Opera,1
Miss Lincoln.,The Devil to Pay,3
Miss Long.,The Beggars Opera,1
Miss Lydell.,The Stratagem,1
Miss Lyon,The Beggars Opera,18
Miss M. Woffington,The Stratagem,1
Miss Macklin,Hamlet,32
Miss Macklin,The Beggars Opera,11
Miss Macklin ,The Beggars Opera,4
Miss Macklin.,Hamlet,2
Miss Maddox,The Stratagem,1
Miss Male,Hamlet,1
Miss Mann,The Beggars Opera,13
Miss Mansel,The Beggars Opera,1
Miss Mathews,The Beggars Opera,3
Miss Mattocks,The Beggars Opera,2
Miss Mattocks,The Stratagem,1
Miss Mears,The Beggars Opera,3
Miss Mears.,The Beggars Opera,2
Miss Medina,The Beggars Opera,3
Miss Medina.,The Beggars Opera,3
Miss Mellon,The Devil to Pay,5
Miss Menage,The Devil to Pay,1
Miss Miller,Hamlet,1
Miss Miller,The Beggars Opera,3
Miss Miller.,Hamlet,9
Miss Minors,Macbeth,12
Miss Minors,The Beggars Opera,25
Miss Minors,The Stratagem,25
Miss Minors.,The Beggars Opera,1
Miss Minors.,The Stratagem,15
Miss Moreau,The Beggars Opera,8
Miss Moreau.,The Devil to Pay,1
Miss Morris,The Beggars Opera,15
Miss Morris,The Devil to Pay,1
Miss Morris ,Hamlet,2
Miss Morris.,Hamlet,1
Miss Morris.  hathi.,The Beggars Opera,4
Miss Morrison,Macbeth,13
Miss Morrison,The Beggars Opera,57
Miss Morrison.,The Beggars Opera,7
Miss Mullart,Macbeth,9
Miss Mullart,The Beggars Opera,101
Miss Mumford,The Devil to Pay,1
Miss Murgetroyd,The Beggars Opera,5
Miss Norman,The Beggars Opera,4
Miss Norris,The Beggars Opera,6
Miss Norris. A new Epilogue to be spoken at the end of the Farce ,The Devil to Pay,1
Miss Norsa,The Beggars Opera,33
Miss Norsa,The Devil to Pay,1
Miss Norsa,The Stratagem,1
Miss Norsa ,The Devil to Pay,9
Miss Norsa ,The Stratagem,3
Miss Norsa.,The Devil to Pay,2
Miss Nossiter,The Stratagem,4
Miss Oates,The Devil to Pay,1
Miss Oates.,The Devil to Pay,6
Miss Oates.  hathi.,The Beggars Opera,1
Miss Ogilvie,The Beggars Opera,7
Miss Ogilvie.,The Beggars Opera,2
Miss Painter,The Beggars Opera,44
Miss Palmer,The Beggars Opera,1
Miss Palmer.,The Beggars Opera,1
Miss Palms.,The Stratagem,1
Miss Pearce,The Beggars Opera,7
Miss Pearce.,The Beggars Opera,1
Miss Pearce.,The Devil to Pay,2
Miss Petre ,The Beggars Opera,2
Miss Petre.,The Beggars Opera,1
Miss Phillips,Hamlet,1
Miss Phillips ,The Beggars Opera,2
Miss Phillips.  hathi.,The Beggars Opera,7
Miss Pitt,The Beggars Opera,67
Miss Pitt,The Devil to Pay,3
Miss Pitt,The Stratagem,1
Miss Pitt.,The Beggars Opera,5
Miss Pitt.,The Devil to Pay,6
Miss Platt,Macbeth,2
Miss Platt,The Beggars Opera,14
Miss Platt,The Devil to Pay,12
Miss Platt Mrs Vixen-Mrs Lewis,The Beggars Opera,5
Miss Platt.,The Beggars Opera,9
Miss Platt.,The Stratagem,1
Miss Plym,The Stratagem,3
Miss Poitier,The Beggars Opera,11
Miss Poitier.,The Beggars Opera,1
Miss Poole,Hamlet,13
Miss Poole ,Hamlet,11
Miss Poole.,The Beggars Opera,2
Miss Pope,The Beggars Opera,12
Miss Pope,The Devil to Pay,8
Miss Pope,The Stratagem,59
Miss Pope ,The Beggars Opera,1
Miss Pope.,The Devil to Pay,26
Miss Pope.,The Stratagem,3
Miss Porter,The Stratagem,1
Miss Price.,The Stratagem,1
Miss Pritchard,The Stratagem,1
Miss Radley,Hamlet,1
Miss Raftor,The Beggars Opera,6
Miss Raftor,The Devil to Pay,61
Miss Raftor.,The Beggars Opera,3
Miss Raftor.,The Devil to Pay,4
Miss Raftor.  hathi.,The Devil to Pay,3
Miss Rawlinson who never appeared on any Stage before,The Stratagem,1
Miss Redhead,The Beggars Opera,1
Miss Robinson Jr,The Stratagem,1
Miss Rogers,Macbeth,9
Miss Rogers,The Beggars Opera,1
Miss Rogers.,The Beggars Opera,3
Miss Rogers.,The Devil to Pay,1
Miss Rowson,The Beggars Opera,2
Miss Royal,The Devil to Pay,5
Miss Royer,The Beggars Opera,38
Miss Royer.,The Stratagem,1
Miss Sandham,The Beggars Opera,10
Miss Santlow,Hamlet,3
Miss Santlow in boys' clothes.,Hamlet,1
Miss Santlow.,Hamlet,2
Miss Satchell ,Hamlet,8
Miss Satchell.,The Beggars Opera,2
Miss Scott,The Beggars Opera,4
Miss Sherry,Macbeth,15
Miss Sherry,The Stratagem,7
Miss Sherry ,Macbeth,4
Miss Sherry.,Hamlet,1
Miss Sherry.,Macbeth,4
Miss Short,The Stratagem,4
Miss Simson,The Stratagem,10
Miss Sledge,The Beggars Opera,4
Miss Sledge.,The Beggars Opera,1
Miss Sledge.,The Stratagem,1
Miss Smith,The Stratagem,2
Miss Smith her first on any stage,The Beggars Opera,1
Miss Standen,Hamlet,1
Miss Standen ,Macbeth,2
Miss Stephens,The Beggars Opera,8
Miss Stevens,The Beggars Opera,1
Miss Stewart,The Beggars Opera,1
Miss Stone,Hamlet,3
Miss Stone.,Hamlet,7
Miss Stuart,Hamlet,7
Miss Stuart,The Beggars Opera,36
Miss Stuart,The Devil to Pay,1
Miss Stuart,The Stratagem,1
Miss Taylor,Hamlet,3
Miss Taylor,The Stratagem,1
Miss Tenoe.,The Stratagem,9
Miss Tetley.,The Beggars Opera,1
Miss Thynne,The Beggars Opera,9
Miss Tidswell,Hamlet,10
Miss Tidswell,The Beggars Opera,12
Miss Tidswell,The Devil to Pay,71
Miss Tidswell ,Macbeth,3
Miss Tidswell.,Hamlet,30
Miss Tidswell.,Macbeth,22
Miss Tidswell.,The Devil to Pay,1
Miss Tidswell. Apparitions of Eight Kings,Macbeth,10
Miss Tollet,The Beggars Opera,6
Miss Tollet,The Stratagem,2
Miss Tollett,The Beggars Opera,5
Miss Twist,The Beggars Opera,5
Miss Twist.,The Beggars Opera,38
Miss Twist.,The Stratagem,1
Miss Valois,The Stratagem,1
Miss Vincent,The Stratagem,9
Miss Walcup,The Beggars Opera,4
Miss Walpole.,The Beggars Opera,5
Miss Ward,The Stratagem,14
Miss Warren ,The Stratagem,1
Miss Warren.,The Beggars Opera,9
Miss Webb ,The Beggars Opera,1
Miss Weller,Hamlet,1
Miss Weller,The Beggars Opera,5
Miss Wentworth,The Devil to Pay,1
Miss Wewitzer.,The Beggars Opera,2
Miss Wheeler,Hamlet,1
Miss Wheeler,The Stratagem,1
Miss Wheeler ,Hamlet,2
Miss Wheeler ,The Beggars Opera,6
Miss Wheeler.  hathi.,The Beggars Opera,2
Miss Wherrit,The Beggars Opera,7
Miss Wherrit ,The Stratagem,3
Miss Wherrit.,The Stratagem,2
Miss White,The Stratagem,1
Miss Williams,Hamlet,1
Miss Williams,The Beggars Opera,8
Miss Willis,Hamlet,2
Miss Willis.  See also $Hogan=,Hamlet,1
Miss Wilson,The Beggars Opera,5
Miss Woffington,The Beggars Opera,1
Miss Woffington.,The Beggars Opera,1
Miss Wood,The Beggars Opera,16
Miss Wood,The Stratagem,3
Miss Wood.,The Stratagem,1
Miss Woodman,The Beggars Opera,21
Miss Woodman.,The Stratagem,1
Miss Wright,The Beggars Opera,4
Miss Wright,The Devil to Pay,2
Miss Wright ,The Beggars Opera,4
Miss Wright ,The Devil to Pay,1
Miss Young,The Beggars Opera,150
Miss Young,The Stratagem,18
Miss Young ,The Beggars Opera,1
Miss Younge,Macbeth,1
Miss Younge ,Macbeth,3
Miss Younge ,The Stratagem,1
Miss Younge.,Macbeth,6
Miss Younge.,The Beggars Opera,1
Miss Younger,The Stratagem,1
Miss _Davis,Macbeth,2
MissBaker,The Beggars Opera,10
MissBennet,Hamlet,14
MissBennet,The Beggars Opera,2
MissBennet,The Devil to Pay,28
MissBennet,The Stratagem,7
MissBennet  hathi.,The Beggars Opera,1
Mlle Capdeville,The Beggars Opera,1
Mlle Parisot,The Devil to Pay,1
Mme Dagueville ,The Beggars Opera,6
Mme Dagueville.,The Beggars Opera,17
Mme Mara ,The Beggars Opera,4
Monlass,The Beggars Opera,4
Monlass,The Devil to Pay,3
Monlass.  hathi.,The Stratagem,1
Moody,Hamlet,1
Moody,Macbeth,39
Moody,The Beggars Opera,81
Moody,The Devil to Pay,79
Moody,The Stratagem,63
Moody ,The Beggars Opera,1
Moody.,Macbeth,2
Moody.,The Stratagem,4
Moore,Hamlet,6
Mordaunt,The Devil to Pay,1
Morgan,Hamlet,22
Morgan,Macbeth,3
Morgan,The Beggars Opera,14
Morgan,The Devil to Pay,5
Morgan,The Stratagem,45
Morgan ,The Beggars Opera,1
Morgan and Ray ,Hamlet,2
Morgan riding on an Ass.,The Beggars Opera,1
Morland,The Devil to Pay,6
Morrice,The Beggars Opera,1
Morris,The Beggars Opera,4
Morris,The Stratagem,26
Morris.,The Beggars Opera,7
Moss,Hamlet,3
Moss,The Beggars Opera,4
Mossop,Hamlet,2
Mossop,Macbeth,17
Mossop ,The Stratagem,2
Mossop.,Hamlet,1
Mossop.,Macbeth,1
Mozeen,Macbeth,4
Mozeen,The Beggars Opera,24
Mozeen,The Stratagem,4
Mozeen.,The Beggars Opera,5
Mr  Jewell.,Hamlet,2
Mr Bannister,The Beggars Opera,7
Mr Bannister ,The Beggars Opera,1
Mr Bannister Jun.,The Beggars Opera,1
Mr Bannister Jun. ,The Beggars Opera,1
Mr Bannister.  hathi.,The Beggars Opera,11
Mr Blissett,The Beggars Opera,1
Mr Davies,The Beggars Opera,1
Mr Edwin,The Beggars Opera,12
Mr Edwin.  hathi.,The Beggars Opera,1
Mr Fawcett,The Beggars Opera,1
Mr Johnstone,The Beggars Opera,2
Mr Johnstone ,The Beggars Opera,1
Mr Kenny,The Beggars Opera,8
Mr Massey,The Beggars Opera,8
Mr Painter,The Beggars Opera,14
Mr Parsons,The Beggars Opera,2
Mr R. Palmer,The Beggars Opera,9
Mr Stevens,The Beggars Opera,8
Mr Swords,The Beggars Opera,8
Mr Webb,The Beggars Opera,7
Mr Wewitzer,The Beggars Opera,12
Mr Wilson,The Beggars Opera,9
Mr Wood,The Beggars Opera,8
Mrs  Oldfield.,The Stratagem,1
Mrs <i>Dorman,Macbeth,1
Mrs <i>Stephens.,Macbeth,1
Mrs <i>Vincent,Macbeth,2
Mrs A. Palmer,The Stratagem,2
Mrs A. Palmer.,The Stratagem,1
Mrs Abeg ,The Beggars Opera,5
Mrs Abington,Hamlet,3
Mrs Abington,The Beggars Opera,8
Mrs Abington,The Stratagem,9
Mrs Abington ,The Beggars Opera,1
Mrs Abington ,The Stratagem,2
Mrs Abington.,The Beggars Opera,3
Mrs Abington.,The Stratagem,5
Mrs Achmet ,Hamlet,1
Mrs Addison ,The Beggars Opera,1
Mrs Arne,The Beggars Opera,1
Mrs Arne,The Devil to Pay,2
Mrs Arne ,The Beggars Opera,1
Mrs Arne.,The Beggars Opera,5
Mrs Arthur.,The Devil to Pay,1
Mrs Atkins.,The Beggars Opera,2
Mrs Baddeley,Hamlet,21
Mrs Baddeley,The Beggars Opera,4
Mrs Baddeley.,Hamlet,8
Mrs Baddeley.,The Beggars Opera,7
Mrs Baily,The Stratagem,1
Mrs Bainbridge,The Beggars Opera,1
Mrs Bainbridge,The Devil to Pay,1
Mrs Bambridge,Hamlet,19
Mrs Bambridge,Macbeth,6
Mrs Bambridge,The Beggars Opera,24
Mrs Bambridge,The Devil to Pay,8
Mrs Bambridge,The Stratagem,16
Mrs Bambridge.,Hamlet,3
Mrs Bambridge.,The Beggars Opera,4
Mrs Bambridge.,The Devil to Pay,2
Mrs Bannister,Hamlet,4
Mrs Bannister ,Hamlet,4
Mrs Bannister.,The Beggars Opera,3
Mrs Bannister.  hathi.,The Beggars Opera,5
Mrs Barnard,The Beggars Opera,1
Mrs Barresford,Hamlet,1
Mrs Barrington,Macbeth,27
Mrs Barrington,The Stratagem,12
Mrs Barrington.,The Stratagem,2
Mrs Barry,Macbeth,4
Mrs Barry,The Stratagem,1
Mrs Barry ,The Stratagem,3
Mrs Barry.,The Stratagem,9
Mrs Bates,Hamlet,3
Mrs Bates ,Hamlet,2
Mrs Bates ,Macbeth,4
Mrs Bates.  hathi.,Macbeth,2
Mrs Bates. Preceding the Play an Address spoken by Lacy ,Hamlet,1
Mrs Baxter,The Stratagem,1
Mrs Beckham,Macbeth,6
Mrs Beckham,The Beggars Opera,8
Mrs Beckham,The Stratagem,1
Mrs Bellamy,The Stratagem,16
Mrs Bellamy ,Macbeth,3
Mrs Bellamy.,Macbeth,1
Mrs Bellamy.,The Stratagem,2
Mrs Benson,The Beggars Opera,12
Mrs Benson.,Macbeth,1
Mrs Bernard,Hamlet,4
Mrs Berriman,Hamlet,13
Mrs Berriman,Macbeth,9
Mrs Berriman,The Stratagem,1
Mrs Berriman.,Macbeth,1
Mrs Betterton,Macbeth,1
Mrs Betterton?,Macbeth,1
Mrs Bicknell,The Stratagem,6
Mrs Bicknell.,The Stratagem,28
Mrs Billington ,Hamlet,2
Mrs Billington.,The Beggars Opera,12
Mrs Billington.  hathi.,The Beggars Opera,2
Mrs Bishop,The Beggars Opera,2
Mrs Bishop,The Devil to Pay,6
Mrs Bishop,The Stratagem,1
Mrs Bishop.,The Devil to Pay,1
Mrs Bland,Hamlet,2
Mrs Bland,The Beggars Opera,6
Mrs Bland,The Devil to Pay,6
Mrs Bland,The Stratagem,1
Mrs Bland.,The Beggars Opera,1
Mrs Bland.,The Devil to Pay,3
Mrs Bland.,The Stratagem,2
Mrs Blurton,The Beggars Opera,6
Mrs Boheme,Hamlet,1
Mrs Boheme.,Macbeth,1
Mrs Boheme.,The Stratagem,1
Mrs Bolingbroke,The Devil to Pay,1
Mrs Booth,Hamlet,1
Mrs Booth,The Beggars Opera,5
Mrs Booth.,Hamlet,43
Mrs Booth.,The Devil to Pay,26
Mrs Bracegirdle.,Hamlet,2
Mrs Bradley,The Beggars Opera,5
Mrs Bradley ,The Beggars Opera,1
Mrs Bradshaw,The Beggars Opera,75
Mrs Bradshaw,The Stratagem,8
Mrs Bradshaw.,Hamlet,9
Mrs Bradshaw.,The Beggars Opera,1
Mrs Bradshaw.,The Devil to Pay,2
Mrs Bradshaw.,The Stratagem,3
Mrs Bramwell,The Beggars Opera,1
Mrs Branson,The Beggars Opera,2
Mrs Brereton,The Stratagem,17
Mrs Brett,The Beggars Opera,6
Mrs Brett,The Devil to Pay,1
Mrs Brett.,The Devil to Pay,1
Mrs Bridges,The Stratagem,19
Mrs Bridges.,The Beggars Opera,4
Mrs Brown,The Beggars Opera,6
Mrs Brown.,The Devil to Pay,2
Mrs Buchanan,Hamlet,6
Mrs Buchanan,Macbeth,16
Mrs Buchanan,The Stratagem,1
Mrs Buchanan ,Macbeth,5
Mrs Buchanan.,Hamlet,1
Mrs Buchanan.,The Stratagem,1
Mrs Bulkley,Hamlet,2
Mrs Bulkley,The Stratagem,1
Mrs Bulkley ,The Stratagem,1
Mrs Bulkley.,Hamlet,2
Mrs Bulkley.,The Stratagem,8
Mrs Bullock,Macbeth,15
Mrs Bullock,The Beggars Opera,2
Mrs Bullock,The Stratagem,35
Mrs Bullock ,Macbeth,1
Mrs Bullock.,Macbeth,4
Mrs Bullock.,The Stratagem,1
Mrs Burden,Macbeth,1
Mrs Burden,The Beggars Opera,15
Mrs Burden,The Stratagem,1
Mrs Butler,Hamlet,37
Mrs Butler,Macbeth,18
Mrs Butler,The Stratagem,1
Mrs Butler.,Macbeth,3
Mrs Butler.,The Beggars Opera,3
Mrs Byrne,Hamlet,1
Mrs Campbell.,The Beggars Opera,1
Mrs Cantrel,The Beggars Opera,1
Mrs Cantrell,The Beggars Opera,3
Mrs Cantrell,The Stratagem,1
Mrs Cantrell ,The Beggars Opera,2
Mrs Cantrell.,The Beggars Opera,1
Mrs Careless,The Stratagem,3
Mrs Careless.,The Stratagem,3
Mrs Cargill,The Beggars Opera,25
Mrs Cargill ,The Beggars Opera,2
Mrs Carlisle ,Macbeth,1
Mrs Castelle,The Beggars Opera,10
Mrs Chalmers,The Beggars Opera,2
Mrs Chambers,Hamlet,14
Mrs Chambers,The Beggars Opera,31
Mrs Chambers,The Devil to Pay,1
Mrs Chambers,The Stratagem,3
Mrs Chambers.,The Beggars Opera,10
Mrs Charke,The Beggars Opera,16
Mrs Charke,The Devil to Pay,10
Mrs Charke.,The Beggars Opera,2
Mrs Charke.  hathi.,The Beggars Opera,2
Mrs Chetwood,The Beggars Opera,5
Mrs Chetwood,The Devil to Pay,1
Mrs Chetwood,The Stratagem,2
Mrs Christian,The Beggars Opera,6
Mrs Christian.,The Stratagem,2
Mrs Cibber,Hamlet,22
Mrs Cibber,Macbeth,1
Mrs Cibber,The Beggars Opera,8
Mrs Cibber,The Stratagem,4
Mrs Cibber ,Macbeth,1
Mrs Cibber ,The Beggars Opera,4
Mrs Cibber 1st time,Hamlet,1
Mrs Cibber first time in this character.,The Stratagem,3
Mrs Cibber.,Hamlet,12
Mrs Cibber.,The Beggars Opera,6
Mrs Clarke,The Beggars Opera,1
Mrs Clarke,The Stratagem,1
Mrs Clarke.,The Stratagem,1
Mrs Coates.,The Beggars Opera,9
Mrs Colles,Hamlet,2
Mrs Colles.,Hamlet,1
Mrs Collett,The Devil to Pay,1
Mrs Connell,The Beggars Opera,1
Mrs Cook,The Beggars Opera,14
Mrs Cook,The Stratagem,1
Mrs Copen,The Beggars Opera,5
Mrs Copin,The Beggars Opera,150
Mrs Copin,The Devil to Pay,5
Mrs Copin.,The Beggars Opera,3
Mrs Copin.,The Stratagem,1
Mrs Cowper,Macbeth,4
Mrs Crawford ,Macbeth,2
Mrs Crawford ,The Beggars Opera,1
Mrs Crawford.,The Stratagem,2
Mrs Cross,Hamlet,6
Mrs Cross,The Beggars Opera,49
Mrs Cross,The Devil to Pay,1
Mrs Cross,The Stratagem,104
Mrs Cross.,Hamlet,6
Mrs Cross.,The Beggars Opera,4
Mrs Cross.,The Stratagem,5
Mrs Crouch,The Beggars Opera,2
Mrs Crouch,The Devil to Pay,14
Mrs Crouch.,The Beggars Opera,10
Mrs Crouch.  hathi.,The Beggars Opera,3
Mrs Cushing,Hamlet,2
Mrs Cushing,The Beggars Opera,18
Mrs Cushing.,Hamlet,3
Mrs Cushing.,The Beggars Opera,1
Mrs Cushing.,The Stratagem,4
Mrs Cuyler,The Beggars Opera,14
Mrs Cuyler,The Stratagem,4
Mrs Cuyler.,The Beggars Opera,1
Mrs D'Lorme,The Beggars Opera,3
Mrs Dancer,Macbeth,1
Mrs Dancer.,The Beggars Opera,4
Mrs Dancer.,The Stratagem,5
Mrs Daniel,The Beggars Opera,1
Mrs Daniel,The Stratagem,1
Mrs Danstall,The Beggars Opera,2
